Feature Set,SVM Accuracy,SVM AUC,MLP Accuracy,MLP AUC
FAP,0.7857142857142857,0.9027777777777778,0.35714285714285715,0.9277777777777778
FBP,0.8571428571428571,0.9222222222222222,0.8571428571428571,0.9500000000000001
FW,0.8571428571428571,0.9277777777777778,0.8928571428571429,0.9833333333333334
FRMS,0.8214285714285714,0.9277777777777778,0.8571428571428571,0.9888888888888889
FS,0.35714285714285715,0.9055555555555554,0.8214285714285714,0.9611111111111111
FALL,0.8928571428571429,0.9611111111111111,0.7857142857142857,0.9111111111111111
